class,description
Branchiopoda,"1. The brine shrimp Artemia salina presents a translucent, elongated body with multiple pairs of delicate, leaf-like appendages, viewed in a lab setting against a dark background.


 2. The water flea, Daphnia pulex, is a small planktonic crustacean with a carapace covering its body, often revealing eggs and muscle strands through its transparent shell.


 3. The shield shrimp, Triops longicaudatus, has a broad, flat carapace concealing its head and a long segmented abdomen with numerous pairs of flattened legs."
Zoomastigophora,"1. Trypanosoma brucei is an elongated, curved, unicellular parasite with a single flagellum that extends anteriorly, observed in a blood smear alongside red blood cells.

2. The freshwater protist Euglena viridis is a green, spindle-shaped cell with faint spiral striations on its pellicle and a single, visible flagellum.

3. N/A (The provided research for this class does not offer a third distinct, detailed visual description for a third species.)"
Scyphozoa,"1. The moon jellyfish, Aurelia aurita, is a translucent, saucer-shaped animal with fine, hair-like tentacles and four horseshoe-shaped gonads visible through its bell.

 2. The Lion's Mane Jellyfish, Cyanea capillata, has a large, bell-shaped body with a striking red or burgundy hue and a dense mass of long, trailing tentacles.

 3. The Atlantic sea nettle, Chrysaora quinquecirrha, has a translucent, bell-shaped body adorned with brownish or reddish stripes and very long, trailing tentacles."
Pycnogonida,"1. The Gracile Sea Spider, Nymphon gracile, has a small central body from which extremely long, thin, and multi-jointed legs extend outward.


 2. A dorsal view of Pycnogonum litorale reveals a textured, robust, and segmented body with four pairs of stout walking legs.


 3. Colossendeis colossea is a giant sea spider with a small, pale-yellow central body and exceptionally long, delicate, multi-jointed legs."
Oligohymenophorea,"1. The genus Paramecium appears as a slipper-shaped, ciliated unicellular protozoan, with a macronucleus visible as a chain of dark dots.


 2. The genus Vorticella is a bell-shaped ciliate attached to a substrate by a slender stalk, with a ring of rapidly moving cilia around its ""mouth-like"" opening.


 3. Stentor coeruleus is a very large, blue to blue-green, trumpet-shaped ciliate that can contract into a ball."
Scaphopoda,"1. The shell of Antalis entalis is a smooth, slightly curved, conical tube, uniform in its opaque white or cream coloration, resembling a miniature elephant tusk.


 2. The shell of Antalis vulgaris is a smooth, gently curving tusk-shaped shell, approximately 42mm in length and a uniform off-white or pale cream color.


 3. The shell of Dentalium elephantinum is characterized by a deep green coloration that fades to white at the tip and features between eight and seventeen strong ribs along its sides."
Cyanophyceae,"1. Colonies of Nostoc appear as filamentous cyanobacteria encased within a clear or yellowish-brown gelatinous sheath, forming spherical or irregular masses.


 2. Filaments of Dolichospermum lemmermannii form small, contorted clusters, with distinct, larger akinetes often clustered in the center of the colony.


 3. Microcystis aeruginosa forms colonies of blue-green algae that appear as green clots or a paint-like scum floating on the water surface."
Hoplonemertea,"1. Prostoma graecense is a reddish-brown, elongated, unsegmented worm with a smooth, moist body, observed in an aquatic environment with some debris.


 2. The Bootlace worm, Lineus longissimus, is a two-meter-long predatory worm, dark in color, tightly coiled in a rockpool.


 3. The milky ribbon worm, Cerebratulus lacteus, is a flattened, milky-white to pinkish worm with a spearhead-shaped head and deep sensory grooves."
Marchantiopsida,"1. Umbrella liverwort, Marchantia polymorpha, forms a green mat with flat, forked thalli and produces distinctive stalked, umbrella-like reproductive structures.


 2. Snakeskin liverwort, Conocephalum conicum, is a thalloid liverwort with a flat, green surface covered in a net-like or bubbly pattern resembling snakeskin.


 3. Floating crystalwort, Riccia fluitans, grows in intricate green mats of rosettes, often with small oxygen bubbles on its surface in aquatic habitats."
Monothalamea,"1. A deep-sea xenophyophore, a type of monothalamean, is a fragile, elaborate structure composed of agglutinated particles forming a fan-like or complex shape.


 2. The organism Syringammina fragilissima is a dark, complex, and irregular branching structure made of interconnected tubular or spherical chambers, giving it a porous appearance.


 3. Allogromia laticollaris is an elongated, sac-like organism with a pale, translucent body and a distinct wide, collar-like structure at one end."
Phycomycota,
Lobosa,"1. Amoeba proteus is a pink-stained, irregularly shaped cell with branch-like extensions of protoplasm, or pseudopodia, visible under a light microscope.


 2. The genus Arcella is a testate amoeba enclosed in a smooth, hemispherical, yellow-brown shell with a circular aperture on its ventral side.


 3. Chaos carolinensis is a large, free-living amoeba, identified as a member of the Amoebida order."
Euchelicerata,"1. Limulus polyphemus, the horseshoe crab, has a large, brown, helmet-shaped carapace with two prominent lateral compound eyes and a long, triangular telson.


 2. A gravid female Arizona bark scorpion (Centruroides sculpturatus) is a brownish-yellow arthropod with a prominent stinger, carrying multiple newborn babies on her back.


 3. The yellow garden spider, Argiope aurantia, has a bulbous abdomen with striking black and yellow stripes, poised on a circular web with a distinct zigzag pattern."
Enoplea,"1. The free-living nematode Caenorhabditis elegans is a transparent, slender, and unsegmented roundworm, approximately 1mm in length, revealing its internal organs.


 2. Trichinella spiralis larvae are seen as coiled, worm-like forms encysted within muscle tissue, as depicted in a light micrograph.


 3. Enoplus communis is a long, slender, cylindrical, and unsegmented worm with a smooth surface, lacking visible appendages."
Arthoniomycetes,"1. The small, pale grey thallus of Arthonia radiata is covered with crowded, star-shaped black discs on the smooth, young bark of a tree. 
2. A thin, inconspicuous whitish thallus of Opegrapha atra displays numerous, densely crowded, and short linear markings on deciduous tree bark. 
3. Arthonia cinnabarina shows bright red, irregular, ""blood spot"" fruiting bodies on a pale grey or orange-brown thallus, often found on the smooth bark of hazel trees. 
4. A thin, grey-brown thallus with elongate, sometimes branched markings and an exposed disc is characteristic of the crustose lichen Opegrapha varia."
Coscinodiscophyceae,"1. A single cell of the centric diatom Coscinodiscus asteromphalus presents a coin or disk shape with a central rosette of large areolae and radially arranged rows. 
2. The diatom Coscinodiscus wailesii has a flat, circular valve face with a hyaline central area and two marginal rings of rimoportulae on the mantle. 
3. A cell of Coscinodiscus centralis is large and free-living, displaying a circular valve with a radiating pattern of areolae across its surface."
Gammaproteobacteria,"1. A solid, metallic dark purple colony with a smooth, low protuberant surface is characteristic of the bacterium Chromobacterium violaceum. 
2. The marine bacterium Vibrio fischeri is visible as a bioluminescent community, producing an intense and characteristic blue-green light at 490 nm. 
3. A dense bacterial mat of Thioploca araucae consists of interwoven, multicellular filaments within a common sheath, reaching into the sediment below."
Sphagnopsida,"1. The Magellanic bogmoss (Sphagnum magellanicum) forms tufts or low hummocks, displaying a distinctive reddish-purple to pinkish-green coloration and having a tuft-like capitulum at its top. 
2. The feathery, flaccid appearance of a submerged Sphagnum cuspidatum plant is defined by its long, plumose branches and narrow, pale green stems. 
3. A dense tuft of the marsh plant Sphagnum palustre is characterized by its yellow-green upper portion, contrasting with its brown underparts and contorted leaves when dry."
Pilidiophora,"1. The bootlace worm, Lineus longissimus, has a very long, slim, dark brownish body with lighter longitudinal stripes, capable of stretching to immense lengths. 
2. The accordion-like contraction of a Pararosa vigarae specimen reveals regular epidermal rings along its elongated, dark green to brown body. 
3. A slender, purplish-brown body ending in a pale cirrus and a distinctly paler head is a key feature of Micrura purpurea."
Calcarea,"1. Leucosolenia botryoides is a soft, white calcareous sponge forming a branching, grape-like cluster of tubular structures with an osculum at the top of each tube. 
2. A translucent, bright yellow sponge, Clathrina clathrus, forms a dense, tangled network of interconnected thin tubes attached to rocky overhangs. 
3. The hairy surface of Sycon ciliatum is a defining feature of its single, tubular body plan, with a crown of spicules surrounding the open end."
Fusulinata,"1. A fossil of Triticites is an extinct marine protist resembling a little American football or a grain of wheat, with a complex interior structure. 
2. The test of a fusulinoid appears as a coiled, granular calcite shell, with later forms having a honeycomb-like translucent inner layer. 
3. Some later-stage fusulinids display a lenticular, globular, or elongated rice-like shape, with intricate internal chambers visible in cross-section."
Litostomatea,"1. The carnivorous ciliate Didinium nasutum is characterized by its barrel shape and two distinctive bands of cilia wrapping around its body. 
2. Lacrymaria olor is a protist with a bulbous body that extends a slender, snakelike neck up to thirty times its body length to hunt. 
3. Balantidium coli is a large, egg-shaped ciliate covered with rows of short cilia and an oval-shaped mouth at the anterior end."
Chrysophyceae,"1. The colonial microalga Dinobryon divergens forms a tree-like colony of vase-shaped cellulose loricas, with biflagellate cells inside. 
2. A spiny, motile colony of Synura uvella is composed of individual cells covered with an organized series of overlapping siliceous scales. 
3. The solitary cell of Paraphysomonas vestita is spherical and colorless, possessing two unequal flagella and covered with a coat of minute siliceous scales."
Thecofilosea,"1. The unicellular flagellate Protaspis grandis is flattened and shaped like an elongated oval, surrounded by a complex multilayered wall. 
2. The amoeboflagellate Cercomonas longicauda has a gliding posterior motion, and its cell body may have a distinct posterior tail. 
3. A unicellular monad with a smooth or warty cell wall, often containing rounded granules, is characteristic of the class Thecofilosea."
Gnetopsida,"1. Welwitschia mirabilis is a desert plant with a hollow stem and just two broad, strappy leaves that grow continuously throughout its life. 
2. The much-branched, evergreen shrub Ephedra sinica displays green, wiry stems and very small, scale-like leaves. 
3. A medium-sized tree, Gnetum gnemon, has glossy, dark green, oblong-oval leaves that resemble those of broadleaf flowering plants."
Ustilaginomycetes,"1. The pathogenic fungus Ustilago maydis causes large, tumor-like galls on corn stalks and ears, which turn from firm white masses to black and sooty with spores. 
2. An ear of wheat affected by Tilletia indica displays bunted, stunted grains with blackened areas that contain a mass of powdery, brownish-black spores. 
3. Tilletia caries infection results in wheat kernels being entirely replaced by bunt balls, which are solid masses of dark, sooty teliospores."
Fragilariophyceae,"1. Fragilaria crotonensis is a planktonic diatom that forms ribbon-like colonies composed of cells swollen at the center and joined at their midpoints. 
2. A non-motile diatom, Asterionella formosa, forms distinctive star-shaped colonies with 6-8 cells joined at one end by mucilage pads. 
3. Another araphid pennate diatom, Tabellaria, forms zig-zag or cruciate colonies, with cells that are more rectangular than those of its close relatives."
Hexactinellida,"1. Venus' flower basket (Euplectella aspergillum) is a strikingly tall, narrow, vase-shaped sponge with a rigid, white, glass-like skeleton of fused spicules. 
2. A solitary, giant basal spicule of Monorhaphis chuni is a single, longest natural silica structure on Earth, with concentric lamellae around a central canal. 
3. Farrea occa is a glass sponge with a complex aquiferous system and a skeleton of siliceous, multi-rayed spicules that form a rigid framework."
Exobasidiomycetes,"1. The fungus Exobasidium vaccinii creates fleshy galls on rhododendron leaves, which are initially pale green and later become covered in a white layer of spores. 
2. A camellia plant infected by Exobasidium camelliae shows distorted leaves with a thickened, pale green appearance and a texture resembling orange peel. 
3. Exobasidium japonicum causes irregularly swollen galls on azalea leaves, which transition from pale green to a chalky white as they mature."
Tremellomycetes,"1. The witch's butter displays a prominent gelatinous and convoluted golden-yellow fruiting body, with a folded texture, growing on a piece of decaying wood. 
2. Small, orangish jellies are visible on hardwood shrub stems, a visual indicator of their parasitic nature on host crusts. 
3. Minute, glossy white to black jellies are seen as small, parasitic discs growing directly on the surface of a host lichen."
Trebouxiophyceae,"1. This colonial chlorophyte forms small spherical to ovoid cells, connected by radiating branching threads, giving the colony an exploded appearance. 
2. Small, irregular lettuce-like green fronds adhere to a rock surface, growing with a black lichen background, a classic example of this species. 
3. The unicellular alga Thorsmoerkia curvula has a distinctive crescent shape with conical poles and a single, visible parietal chloroplast."
Tentaculata,"1. The sea walnut displays a transparent, ovoid body with two distinct lobes and iridescent light-refracting comb rows shimmering along its sides. 
2. Cestum veneris exhibits a long, translucent, ribbon-like body with iridescent comb rows shimmering along its upper edge, gracefully undulating through the water. 
3. A small, translucent, ovoid sea gooseberry possesses a pair of long, delicate, feathery tentacles trailing behind its body as it swims."
Acantharia,"1. A microscopic, translucent protist with a delicate, symmetrical skeleton of radiating, needle-like strontium sulfate spicules arranged in a star-shaped pattern. 
2. This microscopic organism appears golden-hued due to symbiotic cells in its cytoplasm, which are encased within a transparent, intricate siliceous skeleton."
Charophyceae,"1. The Chara globularis alga is a submerged, slender grey-green aquatic plant with a central stem-like axis bearing a dense whorl of smaller, radiating branches. 
2. This single-celled green alga, Micrasterias, has a flattened body with bilateral symmetry, divided by a deep constriction into two semicells with radiating lobes."
Heterotrichea,"1. Peritromus kahli is a large, ovoid and dorsoventrally flattened ciliate with a thick pellicle furnished with numerous black-greenish cortical granules. 
2. An elongated, large-bodied ciliate, Gruberia foissneri, has a conspicuous and prominent oral apparatus containing ciliated membranelles used for feeding."
Solenogastres,"1. A small, worm-like mollusk lacking a shell, its body is covered by a dense outer layer of calcareous spicules arranged in various patterns. 2. The translucent body of Dondersia annulata is covered by a dense layer of minute, pointed sclerites, giving its surface a bristly texture."
Rhynchonellata,"1. A fossilized biconvex shell with a prominent beak and a deeply folded surface, marked by a series of fan-like plications originating from the apex. 
2. A fossilized brachiopod shell featuring a very wide, wing-like hinge line and a surface covered in deep, symmetrical, parallel ribs radiating outwards."
Trilobita,"1. A fossilized exoskeleton of Asaphus kowalewski features a smooth, shield-like head and two extremely long, stalk-like eyes extending from its top surface. 
2. The Pricyclopyge binodosa fossil is defined by its enormous, multi-lensed compound eyes that curve around the sides of its head shield. 
3. An early trilobite fossil, Olenellus transitans, displays a segmented, ovoid body and primitive, crescent-shaped compound eyes on its head shield."
Kinetoplastea,"1. A microscopic, free-living protist of the genus Bodo with two flagella, a leading one and a trailing one, extending from a specialized pocket. 
2. The single-celled parasite Trypanosoma cruzi has a long, slender body with a single flagellum emerging from a specialized pocket and running along the cell's side."
Stenolaemata,"1. A colony of Crisia eburnea forms a small, white, bushy tuft composed of individual, tubular, calcified zooids growing on a substrate. 
2. Sertella sp. forms a hard, calcified, and delicate colony that resembles white lace, with a complex network of slender, branching twigs. 
3. A large, rough-surfaced, encrusting colony forms a broad, hard patch of calcified tubes on a seabed or rocky substrate."
Trematoda,"1. A small, flattened, leaf-shaped parasitic flatworm with two prominent, muscular suckers visible on its body surface used for attachment. 
2. The parasitic worm Trematoda bragai has a prominent oral sucker and a secondary, saucer-shaped acetabulum, with both organs featuring a lining of spines."
Polycystinea,"1. The microscopic planktonic protist, Spumellaria, has a highly symmetrical skeleton composed of concentric, spherical silica lattices with numerous radiating spicules. 
2. A microscopic organism, Nassellaria, has a monoaxial, helmet-shaped siliceous skeleton adorned with spines and other ornamentation."
Bacilli,"1. A group of bacteria from the genus Bacillus, each appearing as a slender, single rod with a bulge at one end, indicating the presence of an internal oval endospore. 
2. Multiple rod-shaped bacteria are visible, arranged in a long, tangled chain-like formation, a common arrangement for Streptobacilli."
Cephalaspidomorphi,"1. The Sea lamprey is an elongated, eel-like fish with scaleless, mottled greyish-brown skin and a distinct jawless, circular mouth lined with multiple rows of sharp teeth. 
2. A small, pale, and worm-like larva is partially burrowed in the sediment of a stream bed, with a blunt head and rudimentary eyes."
Geoglossomycetes,"1. A specimen of Geoglossum lijiangense exhibits a brown to black, tongue-shaped fruiting body with a cylindrical stipe, distinguished by the presence of small squamules on its surface. 
2. The fungal fruiting body of Trichoglossum hirsutum is clavate and covered with a visibly hairy or bristly surface, with a dark brown to black coloration. 
3. This specimen of Geoglossum cookeanum presents a smooth, black, clavate ascoma with a slender cylindrical stipe, standing in the soil among rotting vegetation."
Bangiophyceae,"1. The red alga Bangia atropurpurea is composed of simple, very thin, red to purplish-brown capillary filaments, which are organized in short segments. 
2. A specimen of Porphyra umbilicalis is revealed as a wide, leaf-like, sheet-shaped thallus with a simple, undivided blade structure. 
3. The filamentous form of this red alga, a member of the genus Bangia, is a continuous, unbranched thread of microscopic cells containing cylindrical or globose granules."
Phyllopharyngea,"1. A live specimen of Chlamydodon triquetrus is a flattened ciliate with a cross-striated band that extends along the right margin of its body. 
2. A sessile adult of a suctorian ciliate is entirely devoid of cilia, instead possessing multiple long, extensible tentacles used for feeding on other microorganisms. 
3. The organism Dysteria nabia is a small, free-living ciliate with a distinct podite, and its body is covered in cilia restricted to its ventral surface."
Granuloreticulosea,"1. A live specimen of Heterostegina depressa possesses a glassy, hyaline shell with multiple chambers and a network of extended, thin pseudopodia. 
2. The test of the foraminiferan Quinqueloculina is milky white and composed of a porcelaneous wall, arranged in a spiral of five chambers that are visible from the exterior. 
3. The tiny shell of an agglutinated foraminiferan is constructed of numerous cemented sand grains, giving it a rough, composite texture."
Actinopteri,"1. A fusiform specimen of Palaeoniscum is covered in translucent, hard, diamond-shaped ganoid scales with an articulated arrangement, with visible pores on the surface. 
2. The body of the European conger is elongated and cylindrical, with a long dorsal fin supported by bony rays that run nearly the entire length of its back. 
3. The Black Labeo, a type of carp, displays a body with a symmetrical caudal fin and fan-like pectoral fins supported by numerous bony rays."
Dacrymycetes,"1. This specimen of Ditiola radicata is a small, gelatinous mushroom with a turbinate and stalked form, distinguished by its vibrant yellow-orange color. 
2. A fresh specimen of the fungus Calocera cornea reveals a bright yellow, club-like basidioma with a singular, unbranched shape. 
3. The basidioma of the orange jelly fungus, Dacryopinax spathularia, is a vivid orange and has a distinctive flattened, spathulate or fan-like shape, often found growing on decaying wood."
Taphrinomycetes,"1. This peach tree branch is affected by Taphrina deformans, a fungus that causes the leaves to appear conspicuously puckered, blistered, and distorted. 
2. The effects of Taphrina caerulescens are visually apparent on this oak leaf as bright, circular blisters that are yellow to greenish and raised on the leaf surface. 
3. The fungus Taphrina pruni has caused this host plant's fruit to become distorted, flattened, and visibly lacking a stone inside."
Mediophyceae,"1. A microscopic view of the diatom Corethron shows a solitary, unicellular organism with a radially symmetric silica cell wall adorned with a variety of minute spines. 
2. This marine planktonic diatom is a member of the class Mediophyceae, exhibiting a cylindrical shape and a porous, intricate frustule with a single cell. 
3. A centric diatom from the genus Asterolampra appears as a radially symmetric, star-shaped organism with a porous and highly patterned siliceous cell wall."
Palaeonemertea,"1. The marine worm Tubulanus tamias is an unsegmented, elongated organism with a brightly colored, ribbon-like body and discernible epidermal eyes on its anterior end. 
2. Procephalothrix filiformis is a long, unsegmented, and flattened ribbon worm with a cylindrical body and a darkly pigmented coloration. 
3. A specimen of the ribbon worm Cephalothrix linearis is an elongated, slender, and unsegmented organism with a noticeably flattened body plan and a dark coloration."
Euglenoidea,"1. A single specimen of Euglena gracilis is a motile, spindle-shaped protist with a flexible pellicle and a single long flagellum extending from its anterior end. 
2. This free-swimming protist is green due to the presence of internal chloroplasts, and a visible red eyespot is located near the base of its flagellum. 
3. A specimen of Trachelomonas is a single-celled organism with a distinct, rigid shell-like lorica, and it moves via a single flagellum protruding from an opening at the anterior end."
Cestoda,"1. The scolex of Taenia saginata is a pear-shaped, unhooked head with four distinct suckers, and its body is a long, flattened ribbon of hundreds of segments. 
2. The adult Taenia solium is characterized by a long, flat, and ribbon-like body and a globular scolex armed with both hooks and four suckers. 
3. The dwarf tapeworm, Hymenolepis nana, is a small, flat worm with a segmented body and a scolex that is armed with a retractable rostellum and four suckers."
Colpodea,"1. A live specimen of the ciliate Colpoda henneguyi is a motile microorganism that is often wider in the preoral region than the postoral region, with a deep diagonal groove. 
2. The free-living ciliate Colpoda cucullus is a broadly kidney-shaped or reniform protist with cilia covering its entire body and a distinct notch-like indentation. 
3. The species Bursaria truncatella is a large, bursiform ciliate with a coiled, highly variable macronucleus and a prominent, deep anterior oral cavity."
Imbricatea,"1. A specimen of Trivalvularis immunda is a spherical amoeboid organism with an organic shell that is encrusted with various flat siliceous particles of different sizes. 
2. The protist Thaumatomastix has a single-celled body covered in both spiny and flattened siliceous scales that are visible upon close inspection. 
3. The organism Leptogromia operculata has a spherical shell and is distinguished by fine branching filopodia that radiate from a triangular-shaped aperture."
Orbiliomycetes,"1. The fruiting body of the fungus Orbilia leucostigma appears as a very small, translucent, disc-shaped structure that is convex in profile and is found on decaying wood. 
2. A specimen of the carnivorous fungus Arthrobotrys exhibits a network of specialized hyphae that form adhesive nets to trap nematodes. 
3. The anamorph Gamsylella lobata displays lobed hyphal loops that swell and constrict rapidly upon contact to ensnare microscopic prey."
Microbotryomycetes,"1. A specimen of the yeast Rhodotorula mucilaginosa is seen as a slimy or mucilaginous, red or pink-pigmented colony growing in culture. 
2. A plant infected with a species of Microbotryum displays flowers with black, sooty, powdery masses of fungal spores where pollen would normally be found. 
3. The parasitic fungus Heterogastridium appears on its host as a small, pycnidioid basidiocarp, which is a specialized flask-shaped structure for spore production."
Xanthophyceae,"1. The filamentous Tribonema is composed of cylindrical cells with H-shaped bipartite walls, containing two or more disc-like, yellow-green chloroplasts. 

2. Vaucheria presents a multinucleate, tubular filament without cross walls, attaching to its substrate via thin rhizoids, resembling a fuzzy green mat. 

3. An aquatic Tribonema filament shows its characteristic H-shaped wall segments at the broken end, a key visual diagnostic feature separating it from other green algae."
Bicoecea,"1. The flagellate Bicosoeca is a transparent, ovoid cell enclosed within a conical, cylindrical lorica, which is attached to a substrate by a prominent stalk. 

2. Cafeteria roenbergensis, a kidney-shaped cell, propels itself with two unequally sized flagella, one of which trails behind as the organism moves in a swift spiral path. 

3. The planktonic Bicosoeca maris consists of a single oval cell residing in a transparent, conical lorica with an obvious, flared mouth."
Appendicularia,"1. The transparent body of Oikopleura dioica, resembling a tadpole, consists of a small, ovoid trunk and a very long, slender tail with two distinct sub-chordal cells. 

2. A giant larvacean of the genus Bathochordaeus secretes a large, delicate, transparent mucus house that can be over a meter in diameter for filtering food. 

3. A Fritillaria species is a small, free-swimming tunicate with a U-shaped body and a flattened, muscular tail, resembling a miniature tadpole."
Ciliatea,"1. The trumpet-shaped Stentor, a large protozoan, is identifiable by a ring of prominent cilia at its anterior end, which create feeding currents while the organism remains sessile. 

2. The classic Paramecium is a slipper-shaped cell propelled by tightly spaced rows of cilia, with a visible oral groove that funnels food into the organism's body. 

3. A bell-shaped Vorticella is attached to a surface by a long, coiled stalk, with feeding cilia extending from the top of its body to collect food."
Nassophorea,"1. A uniformly ciliated Nassula cell appears ellipsoidal with a visible, anterior oral aperture that leads to a prominent, club-shaped cytopharyngeal basket of rods. 

2. Furgasonia blochmanni is a cylindrical cell with dense, longitudinal rows of somatic cilia and a rigid internal basket of rods used for ingesting filamentous algae. 

3. The cell of an unnamed Nassulid ciliate is ellipsoidal and uniformly ciliated, with a distinct blue-green color due to the filamentous algae it has ingested."
Homoscleromorpha,"1. The translucent Oscarella lobularis forms a soft, gelatinous sheet over rock surfaces, displaying a bubbly, lobulate texture and lacking any internal skeleton. 

2. Plakortis is a thinly encrusting sponge with a crisp consistency and an irregular, lobate border, displaying a distinct internal skeleton of small, tetraxon spicules. 

3. A specimen of Plakina jani reveals a yellow or brown-colored crust, with a system of gently curved slits visible on its surface and an internal skeleton of calthropses."
Betaproteobacteria,"1. Burkholderia cepacia is a Gram-negative bacterium characterized by its motile, rod-shaped morphology and is typically found in soil and water habitats. 

2. The ammonia-oxidizing Nitrosomonas is a rod-shaped, chemolithoautotrophic bacterium, playing an important role in the nitrogen cycle. 

3. Neisseria is a Gram-negative diplococcus bacterium with a distinctive coffee-bean shape, often appearing in pairs when viewed microscopically."
Eutardigrada,"1. The plump, cylindrical body of a Milnesium tardigradum has four pairs of stumpy, unjointed legs, each tipped with a distinctive pair of double claws for grasping. 

2. A transparent Macrobiotus exhibits two distinct eye spots and eight stumpy legs tipped with uniform diploclaws, moving slowly on its substrate. 

3. An egg of the genus Macrobiotus shows a spherical shape with a unique pattern of ornamented conical processes covering its entire surface."
Prymnesiophyceae,"1. The marine microalga Emiliania huxleyi is a spherical cell with a spherical shell, known as a coccosphere, composed of intricately interlocking mineralized plates. 

2. A massive bloom of the coccolithophore Emiliania huxleyi creates a milky, aquamarine coloration, a visual effect so significant it can be seen from space. 

3. The microscopic Chrysochromulina is a biflagellate cell with two saucer-shaped, parietal chloroplasts and a unique, thread-like appendage called a haptonema."
Sipunculidea,"1. The peanut worm Sipunculus displays a thick, stout, unsegmented trunk with a retractable introvert covered in small triangular papillae. 

2. Phascolosoma is a marine worm with a slender, unsegmented body wall covered in large, black, dome-shaped papillae and a crown of tentacles. 

3. A live specimen of Phascolosoma shows a cylindrical trunk with visible, longitudinal muscle bands running its length and a crown of slender, brownish tentacles."
Lichinomycetes,"1. The crustose Lichinella stipatula forms a dark brown to blackish, cracked crust with a prominent granular appearance on an exposed surface. 

2. Synalissa ramulosa grows as a tiny, shrub-like cushion of upright, coral-shaped branches that swell and turn a dark red-brown when wet. 

3. The squamules of Heppia despreauxii appear with a pale dotted surface due to a cracked upper cortex, with a dark rim along their edges."
Entomophthoromycetes,"1. A dead fly, infected with Entomophthora muscae, is found attached to a plant stem with its wings spread out and a puffy, white-striped abdomen. 

2. An insect cadaver, infected by Entomophaga grylli, is found clinging to the tip of a grass stem in a characteristic ""summit disease"" posture. 

3. A living cicada, infected with Massospora cicadina, is missing the end of its abdomen, which has been replaced by a white, chalky fungal mass."
Chytridiomycetes,"1. A sporangium of Rhizophydium is visible as a small, spherical parasitic sac attached to a host algal filament by anchoring, hair-like rhizoids. 

2. The fungal pathogen Batrachochytrium dendrobatidis appears as a translucent, spherical sporangium with a single operculate discharge pore for releasing motile zoospores. 

3. The epidermis of an amphibian shows multiple, embedded spherical sporangia of the fungus Batrachochytrium dendrobatidis, indicating a parasitic infection."
Alphaproteobacteria,"1. Rhodospirillum rubrum is a motile, Gram-negative bacterium characterized by its distinctive and naturally occurring spiral cell shape. 

2. The nitrogen-fixing Rhizobium appears as a rod-shaped bacterium with rounded ends, forming clusters on the roots of legume plants. 

3. Rickettsia consists of highly pleomorphic, tiny bacteria, ranging from cocci to rods or threads, visible as they infect the internal cells of a host."
Staurozoa,"1. Haliclystus is a sessile jellyfish with a semi-translucent, cone-shaped calyx and a stalk, attached to a substrate with its upward-facing arms and tentacles. 

2. The body of Haliclystus antarcticus displays a variable color palette ranging from red-orange with light red gonads to a mixture of red and green. 

3. A specimen of Manania is a stalked medusa with a calyx margin featuring rhopalioids associated with distinct dark, pigmented spots."
Armophorea,"1. The bullet-shaped cell of Brachonella abnormalis features a highly developed adoral zone that spirals approximately 450° around the organism's longitudinal axis.
2. A member of the caenomorphid group displays a characteristic military helmet-like morphology with a twisted appearance, a key visual trait for this sub-group."
Prostomatea,"1. The barrel-shaped body of Coleps hirtus is defined by regularly arranged ectoplasmic plates, with three distinct spinous projections visible at its posterior end.


2. With a periform body shape, Urotricha armata exhibits uniform ciliation that does not extend to its posterior quarter, where a single caudal cilium is present.


3. An ovoid and largely transparent cell, Prorodon diaphanus reveals an apical cytostome and a large, distinct macronucleus within its body."
Anthocerotopsida,"1. The flat, greasy blue-green thallus of a hornwort gametophyte supports erect, narrow, green sporophytes resembling small horns emerging from the plant's surface.


2. On an older hornwort thallus, mature sporophytes have turned brown and split lengthwise into two halves, releasing a mix of spores and filamentous pseudo-elaters.


3. The dark green, lustrous thallus of Phaeoceros laevis is visually characterized by numerous slender, spindle-shaped green capsules that stand upright like a tuft of grass."
Coniocybomycetes,"1. A granular, crust-like thallus of Pilophorus acicularis serves as a base for dense clusters of erect, needle-like stalks that are curved to appear combed.


2. The fruticose stalks of Pilophorus acicularis are tipped with a rounded, black apothecium, a reproductive structure that contains a powdery mass of spores."
Euglenida,"1. An organism identified as Euglena gracilis displays a flexible, elongated cell shape and a single emergent flagellum used for locomotion and swimming.


2. The flattened, rigid, and leaf-shaped cell of Phacus is distinguished by a prominent posterior spine and a pellicle with longitudinal folds."
Synurophyceae,"1. The motile colony of Synura petersenii is composed of numerous individual cells, each covered with a spirally arranged layer of bilaterally symmetrical silica scales.


2. An electron micrograph reveals a highly sculptured scale from Synura petersenii, with a distinct basal plate perforated by pores and a forward-projecting spine."
Cubozoa,"1. The transparent body of a box jellyfish reveals a squarish, cube-shaped bell from which multiple long, hollow tentacles trail from each of its four lower corners.


2. A large, pale blue Chironex fleckeri swims with its bell expanded, its long tentacles contracted into thick columns, showing the unique stalk at each corner.


3. A general box jellyfish exhibits four sensory structures known as rhopalia, each containing clusters of multiple eyes and a crystal-like statolith, visible below the bell."
Cryptophyceae,"1. This cryptomonad, Cryptomonas ovata, presents a small, ovoid shape with two unequal flagella extending from an anterior depression, showing a reddish-brown coloration and a large nucleus. 
2. Chilomonas paramecium is a colorless, teardrop-shaped organism with a posterior tail-like extension and two anterior flagella, seen moving rapidly within a liquid medium. 
3. The freshwater cryptophyte Rhodomonas is visible as a tiny, reddish cell with a single, prominent pyrenoid and two flagella, often found suspended among green algae."
